Shots,ZS-CLIP,CoCoOp,ProMIM (MIM),ProMIM (Full),Delta (Full-C)
ZS,71.41,-,-,-,-
1,71.41,72.08,71.88,71.68,-0.39
4,71.41,73.54,72.16,72.66,-0.88
8,71.41,71.88,73.56,72.98,+1.10
16,71.41,72.34,71.93,72.86,+0.52
