Shots,ZS-CLIP,CoCoOp,ProMIM (MIM),ProMIM (Full),Delta (Full-C)
ZS,90.56,-,-,-,-
1,90.56,89.02,88.35,90.00,+0.98
4,90.56,90.99,89.92,91.11,+0.13
8,90.56,89.06,89.78,90.56,+1.51
16,90.56,89.22,89.52,90.52,+1.31
