method,primary_metric,top1_val,top1_test,top1_full,mpc_val,mpc_test,mpc_full,top5_val,top5_test,top5_full
Standard CLIP,top1,66.06,66.17,66.34,65.93,66.25,66.38,96.15,94.98,95.15
CuPL (base),top1,64.04,63.35,63.48,63.83,63.19,63.27,94.86,94.4,94.72
CuPL (full),top1,65.02,65.84,65.5,64.73,65.83,65.41,94.92,94.69,94.91
Ensemble,top1,66.67,66.91,66.85,66.42,66.91,66.82,95.41,95.32,95.48
