epoch,train_loss,train_acc,val_acc,lr
1,1.332403564453125,45.0,40.0,1e-05
2,1.0814186096191407,65.0,60.0,0.0019863613034027225
3,0.911313247680664,65.0,65.0,0.0019458172417006346
4,0.8222400665283203,70.0,80.0,0.001879473751206489
5,0.7551088333129883,80.0,70.0,0.0017891405093963938
6,0.5898035049438477,80.0,80.0,0.0016772815716257412
7,0.49541549682617186,85.0,80.0,0.001546948158122427
8,0.4908773422241211,85.0,75.0,0.0014016954246529696
9,0.4090145111083984,90.0,85.0,0.0012454854871407992
10,0.372300910949707,90.0,80.0,0.0010825793454723326
11,0.3754796028137207,90.0,80.0,0.0009174206545276678
12,0.3367574214935303,90.0,80.0,0.0007545145128592009
13,0.3374050140380859,90.0,80.0,0.0005983045753470308
14,0.30062007904052734,90.0,80.0,0.0004530518418775733
15,0.2843294143676758,90.0,80.0,0.00032271842837425913
16,0.27942700386047364,90.0,80.0,0.00021085949060360655
17,0.27175188064575195,90.0,80.0,0.00012052624879351104
18,0.269486665725708,90.0,80.0,5.418275829936536e-05
19,0.2671660900115967,90.0,80.0,1.3638696597277678e-05
20,0.2669229507446289,90.0,80.0,0.0
