epoch,train_loss,train_acc,val_acc,lr
1,1.02745361328125,60.0,60.0,1e-05
2,1.0261062622070312,60.0,60.0,0.001999875389517657
3,1.0233688354492188,60.0,65.0,0.001999501589126174
4,0.9399124145507812,62.5,60.0,0.0019988786919844436
5,0.8973068237304688,65.0,65.0,0.0019980068533314937
6,0.8339076995849609,70.0,70.0,0.0019968862904477932
7,0.7654956817626953,75.0,65.0,0.001995517282601106
8,0.7422136306762696,67.5,65.0,0.001993900170976888
9,0.6943141937255859,75.0,70.0,0.0019920353585932576
10,0.6217388153076172,80.0,70.0,0.0019899233102005573
11,0.5754464149475098,87.5,75.0,0.001987564552165524
12,0.5397156715393067,87.5,80.0,0.001984959672340111
13,0.5081730842590332,87.5,80.0,0.0019821093199149805
14,0.4664135456085205,87.5,75.0,0.0019790142052577148
15,0.4334437608718872,90.0,75.0,0.0019756750997357735
16,0.3986052989959717,90.0,70.0,0.001972092835524257
17,0.3648118734359741,92.5,80.0,0.0019682683053985073
18,0.3270850658416748,92.5,75.0,0.001964202462511612
19,0.30282809734344485,92.5,80.0,0.0019598963201568572
20,0.28433709144592284,92.5,85.0,0.001955350951515195
21,0.25922017097473143,92.5,85.0,0.001950567489387783
22,0.24434380531311034,92.5,90.0,0.001945547125913667
23,0.23341951370239258,92.5,85.0,0.0019402911122726756
24,0.20495519638061524,95.0,80.0,0.0019348007583735983
25,0.19530701637268066,97.5,80.0,0.0019290774325277304
26,0.1813506603240967,97.5,90.0,0.001923122561107861
27,0.17300269603729249,95.0,85.0,0.0019169376281927889
28,0.1516960382461548,97.5,80.0,0.0019105241751974623
29,0.1517709970474243,100.0,70.0,0.0019038838004888238
30,0.15081747770309448,100.0,75.0,0.0018970181589874635
31,0.12718369960784912,100.0,85.0,0.0018899289617551802
32,0.11783452033996582,97.5,90.0,0.001882617975568547
33,0.12421684265136719,97.5,85.0,0.001875087022478594
34,0.09665031433105468,100.0,75.0,0.0018673379793567146
35,0.10199966430664062,100.0,80.0,0.001859372777426912
36,0.12114503979682922,100.0,75.0,0.0018511934017844947
37,0.09368235468864441,100.0,85.0,0.0018428018909013506
38,0.08520987629890442,100.0,85.0,0.0018342003361179176
39,0.08035379648208618,100.0,80.0,0.0018253908811219765
40,0.06459259986877441,100.0,80.0,0.0018163757214143992
41,0.062160763144493106,100.0,80.0,0.0018071571037619853
42,0.060102146863937375,100.0,80.0,0.0017977373256375193
43,0.047435718774795535,100.0,80.0,0.0017881187346471923
44,0.04620414972305298,100.0,80.0,0.0017783037279455298
45,0.04501994252204895,100.0,80.0,0.0017682947516379705
46,0.03638670444488525,100.0,80.0,0.0017580943001712455
47,0.03551721870899201,100.0,80.0,0.0017477049157117092
48,0.03903222680091858,100.0,80.0,0.001737129187511779
49,0.03095361590385437,100.0,80.0,0.0017263697512646394
50,0.024953624606132506,100.0,80.0,0.0017154292884473713
51,0.02342858016490936,100.0,80.0,0.0017043105256526723
52,0.022192245721817015,100.0,80.0,0.0016930162339093319
53,0.01908145844936371,100.0,80.0,0.0016815492279916339
54,0.01968701183795929,100.0,80.0,0.0016699123657178553
55,0.016981369256973265,100.0,80.0,0.0016581085472380378
56,0.014721399545669556,100.0,80.0,0.0016461407143112097
57,0.013951185345649719,100.0,80.0,0.0016340118495722386
58,0.011966636776924134,100.0,80.0,0.0016217249757884953
59,0.01088155210018158,100.0,80.0,0.0016092831551065168
60,0.010066840052604675,100.0,80.0,0.001596689488288856
61,0.009776338934898376,100.0,80.0,0.0015839471139413065
62,0.008768925070762634,100.0,80.0,0.001571059207730695
63,0.007906836271286011,100.0,80.0,0.0015580289815934401
64,0.0088051438331604,100.0,80.0,0.0015448596829350705
65,0.007810035347938537,100.0,80.0,0.0015315545938209014
