epoch,train_loss,train_acc,val_acc,lr
1,1.8822131624408798,50.0,55.3921568627451,1e-05
2,1.0912545159751295,64.70588235294117,73.52941176470588,0.0019863613034027225
3,0.8301243127561083,72.05882352941177,76.47058823529412,0.0019458172417006346
4,0.7064721368107141,72.54901960784314,78.92156862745098,0.001879473751206489
5,0.6731268845352472,76.47058823529412,76.47058823529412,0.0017891405093963938
6,0.6206333473616955,78.92156862745098,79.90196078431373,0.0016772815716257412
7,0.569768909145804,80.88235294117646,78.92156862745098,0.001546948158122427
8,0.5685816015682968,81.37254901960785,80.3921568627451,0.0014016954246529696
9,0.4971033515883427,81.86274509803921,79.90196078431373,0.0012454854871407992
10,0.5269594502215292,82.84313725490196,79.41176470588235,0.0010825793454723326
11,0.4778273479611266,84.31372549019608,80.3921568627451,0.0009174206545276678
12,0.4552307584706475,82.84313725490196,81.86274509803921,0.0007545145128592009
13,0.4283119866660997,84.80392156862744,82.3529411764706,0.0005983045753470308
14,0.4118979099918814,85.29411764705883,82.3529411764706,0.0004530518418775733
15,0.4034320612748464,85.29411764705883,82.84313725490196,0.00032271842837425913
16,0.3943437536557515,86.27450980392157,82.3529411764706,0.00021085949060360655
17,0.39627517087786807,86.76470588235294,82.3529411764706,0.00012052624879351104
18,0.38544514716840256,87.25490196078431,82.3529411764706,5.418275829936536e-05
19,0.3828811931843851,86.76470588235294,82.3529411764706,1.3638696597277678e-05
20,0.3815157582946852,86.76470588235294,82.3529411764706,0.0
