epoch,train_loss,train_acc,val_acc,lr
1,2.6744749943415322,33.854166666666664,31.25,1e-05
2,2.2358089288075766,37.5,42.708333333333336,0.0019863613034027225
3,1.6857549858589966,53.645833333333336,48.958333333333336,0.0019458172417006346
4,1.4583777288595836,58.854166666666664,52.083333333333336,0.001879473751206489
5,1.30326738084356,62.5,54.166666666666664,0.0017891405093963938
6,1.1805487647652626,64.0625,55.208333333333336,0.0016772815716257412
7,1.0774088017642498,67.70833333333333,56.25,0.001546948158122427
8,0.9643769407023987,68.75,59.375,0.0014016954246529696
9,0.9045293076584736,70.3125,59.375,0.0012454854871407992
10,0.8496083666880926,71.35416666666667,62.5,0.0010825793454723326
11,0.7876510371764501,74.47916666666667,58.333333333333336,0.0009174206545276678
12,0.7697486778100332,75.0,64.58333333333333,0.0007545145128592009
13,0.7421410884708166,74.47916666666667,60.416666666666664,0.0005983045753470308
14,0.6874644309282303,75.0,58.333333333333336,0.0004530518418775733
15,0.6852604107310375,75.52083333333333,62.5,0.00032271842837425913
16,0.6543806027621031,78.125,59.375,0.00021085949060360655
17,0.6445640573898951,77.60416666666667,58.333333333333336,0.00012052624879351104
18,0.6377346534281969,77.60416666666667,58.333333333333336,5.418275829936536e-05
19,0.6312862678120533,77.60416666666667,58.333333333333336,1.3638696597277678e-05
20,0.6294851321727037,77.60416666666667,58.333333333333336,0.0
