epoch,train_loss,train_acc,val_acc,lr
1,1.025488257408142,60.0,40.0,1e-05
2,1.025488257408142,60.0,40.0,0.0019979453927503363
3,1.025488257408142,60.0,40.0,0.001991790013823246
4,1.025488257408142,60.0,40.0,0.0019815591569910655
5,1.025488257408142,60.0,40.0,0.0019672948630390296
6,1.025488257408142,60.0,40.0,0.0019490557470106687
7,0.985107421875,60.0,40.0,0.0019269167573460217
8,0.920458972454071,60.0,40.0,0.001900968867902419
9,0.8677002191543579,60.0,40.0,0.0018713187041233894
10,0.8243408203125,60.0,40.0,0.0018380881048918405
11,0.7701416015625,60.0,40.0,0.0018014136218679566
12,0.709301769733429,80.0,40.0,0.0017614459583691344
13,0.6454833745956421,80.0,40.0,0.0017183493500977276
14,0.587207019329071,100.0,40.0,0.0016723008902613168
15,0.530444324016571,100.0,40.0,0.0016234898018587336
16,0.4785400331020355,100.0,40.0,0.0015721166601221697
17,0.4308837950229645,100.0,40.0,0.0015183925683105253
18,0.386962890625,100.0,40.0,0.0014625382902408355
19,0.34156495332717896,100.0,40.0,0.0014047833431223937
20,0.3041748106479645,100.0,40.0,0.0013453650544213076
21,0.2718261778354645,100.0,40.0,0.0012845275866310323
22,0.24195556342601776,100.0,60.0,0.0012225209339563144
23,0.2137451171875,100.0,60.0,0.0011595998950333793
24,0.19029541313648224,100.0,60.0,0.0010960230259076818
25,0.16765137016773224,100.0,60.0,0.0010320515775716554
26,0.14857177436351776,100.0,60.0,0.0009679484224283449
27,0.13076171278953552,100.0,60.0,0.0009039769740923182
28,0.11578369140625,100.0,60.0,0.000840400104966621
29,0.10386963188648224,100.0,60.0,0.0007774790660436857
30,0.09306640923023224,100.0,60.0,0.0007154724133689676
31,0.08430175483226776,100.0,60.0,0.0006546349455786926
32,0.07645873725414276,100.0,60.0,0.0005952166568776062
33,0.07018432766199112,100.0,60.0,0.000537461709759165
34,0.06479492038488388,100.0,60.0,0.00048160743168947496
35,0.06040649488568306,100.0,60.0,0.0004278833398778306
36,0.05635375902056694,100.0,60.0,0.0003765101981412665
37,0.0531005859375,100.0,40.0,0.00032769910973868313
38,0.05039672926068306,100.0,40.0,0.0002816506499022725
39,0.04747314378619194,100.0,60.0,0.0002385540416308656
40,0.04526061937212944,100.0,60.0,0.0001985863781320435
41,0.04379577562212944,100.0,60.0,0.0001619118951081594
42,0.04239501804113388,100.0,60.0,0.0001286812958766106
43,0.04123840481042862,100.0,60.0,9.903113209758097e-05
44,0.04053344577550888,100.0,60.0,7.308324265397836e-05
45,0.0399932861328125,100.0,60.0,5.094425298933136e-05
46,0.03967895358800888,100.0,60.0,3.270513696097055e-05
47,0.03920898586511612,100.0,60.0,1.844084300893456e-05
48,0.03901062160730362,100.0,60.0,8.209986176753947e-06
49,0.03880004957318306,100.0,60.0,2.054607249663665e-06
50,0.03879394382238388,100.0,60.0,0.0
