epoch,train_loss,train_acc,val_acc,lr
1,2.026029687178762,42.10526315789474,57.89473684210526,1e-05
2,1.7440862153705798,47.36842105263158,68.42105263157895,0.0019863613034027225
3,0.9444013896741366,73.6842105263158,73.6842105263158,0.0019458172417006346
4,0.6637490674069053,68.42105263157895,84.21052631578948,0.001879473751206489
5,0.5504937548386423,84.21052631578948,84.21052631578948,0.0017891405093963938
6,0.4009917786246852,89.47368421052632,84.21052631578948,0.0016772815716257412
7,0.3482375521408884,94.73684210526316,84.21052631578948,0.001546948158122427
8,0.31092053338101033,94.73684210526316,84.21052631578948,0.0014016954246529696
9,0.28795453121787623,94.73684210526316,89.47368421052632,0.0012454854871407992
10,0.2612164710697375,94.73684210526316,89.47368421052632,0.0010825793454723326
11,0.24418078598223233,94.73684210526316,89.47368421052632,0.0009174206545276678
12,0.22783314554314865,94.73684210526316,89.47368421052632,0.0007545145128592009
13,0.22515095535077548,94.73684210526316,89.47368421052632,0.0005983045753470308
14,0.2144357405210796,94.73684210526316,89.47368421052632,0.0004530518418775733
15,0.20447131834532084,94.73684210526316,89.47368421052632,0.00032271842837425913
16,0.20075843208714536,94.73684210526316,89.47368421052632,0.00021085949060360655
17,0.19678521156311035,94.73684210526316,89.47368421052632,0.00012052624879351104
18,0.1942481743661981,94.73684210526316,94.73684210526316,5.418275829936536e-05
19,0.19406581552405106,94.73684210526316,94.73684210526316,1.3638696597277678e-05
20,0.1941555989416022,94.73684210526316,94.73684210526316,0.0
