dataset,zero_shot_acc,n_classes
eurosat,42.06172839506173,10
oxfordpets,87.29899155083129,37
dtd,44.385342789598106,47
caltech101,92.21095334685599,100
flowers102,67.39748274462038,102
fgvcaircraft,23.822382238223824,100
stanfordcars,65.60129337147121,196
ucf101,64.26116838487972,101
food101,83.66666666666667,101
