class,standard,cupl_full,delta
Annual Crop Land,55.83,68.83,13.0
Forest,54.67,43.17,-11.5
Herbaceous Vegetation Land,0.33,3.83,3.5
Highway or Road,80.8,81.2,0.4
Industrial Buildings,82.8,85.0,2.2
Pasture Land,16.75,4.5,-12.25
Permanent Crop Land,48.6,7.6,-41.0
Residential Buildings,90.83,80.67,-10.17
River,52.8,59.6,6.8
Sea or Lake,34.33,78.83,44.5
