dataset,1,4,8,16
caltech101,86.73427991886409,93.28600405679514,93.97565922920893,95.16227180527383
dtd,42.89302600472813,58.05260047281324,63.62293144208038,68.54314420803783
eurosat,58.861111111111114,75.4753086419753,80.02777777777777,86.93518518518519
fgvc_aircraft,23.04980498049805,32.29072907290729,37.42874287428743,43.504350435043506
food101,75.9381188118812,83.12211221122112,84.35148514851485,85.40676567656766
oxfordflowers,77.19244823386114,91.52456354039789,94.83353633779943,96.54892407632968
oxfordpets,83.36058871627147,88.46415917143636,89.854183701281,91.81657127282638
stanford_cars,58.44422335530406,69.4782987190648,75.24250715085188,79.79417982837955
ucf101,64.37351308485329,73.42717420037008,77.00898757599789,81.17895849854612
