exp_key,dataset,num_shots,seed,csc,class_token_position,n_ctx,final_acc,best_acc,best_val_acc,weights_path,context_type,variant
oxfordpets_shots16_cscTrue_posmiddle_seed1,oxfordpets,16,1,True,middle,16,90.54238212046879,90.54238212046879,93.61413043478261,/scratch/HS400/coop_results/output/weights/oxfordpets_shots16_cscTrue_posmiddle_seed1_weights.pt,CSC,CSC_middle
dtd_shots1_cscFalse_posend_seed1,dtd,1,1,False,end,16,51.89125295508274,51.89125295508274,49.55673758865248,/scratch/HS400/coop_results/output/weights/dtd_shots1_cscFalse_posend_seed1_weights.pt,Unified,Unified_end
dtd_shots1_cscFalse_posmiddle_seed1,dtd,1,1,False,middle,16,47.75413711583924,47.75413711583924,47.96099290780142,/scratch/HS400/coop_results/output/weights/dtd_shots1_cscFalse_posmiddle_seed1_weights.pt,Unified,Unified_middle
dtd_shots1_cscTrue_posend_seed1,dtd,1,1,True,end,16,37.29314420803782,37.29314420803782,33.51063829787234,/scratch/HS400/coop_results/output/weights/dtd_shots1_cscTrue_posend_seed1_weights.pt,CSC,CSC_end
dtd_shots1_cscTrue_posmiddle_seed1,dtd,1,1,True,middle,16,34.63356973995272,34.63356973995272,32.5354609929078,/scratch/HS400/coop_results/output/weights/dtd_shots1_cscTrue_posmiddle_seed1_weights.pt,CSC,CSC_middle
dtd_shots4_cscFalse_posend_seed1,dtd,4,1,False,end,16,58.56973995271868,58.56973995271868,59.219858156028366,/scratch/HS400/coop_results/output/weights/dtd_shots4_cscFalse_posend_seed1_weights.pt,Unified,Unified_end
dtd_shots4_cscFalse_posmiddle_seed1,dtd,4,1,False,middle,16,60.579196217494086,60.579196217494086,60.638297872340424,/scratch/HS400/coop_results/output/weights/dtd_shots4_cscFalse_posmiddle_seed1_weights.pt,Unified,Unified_middle
dtd_shots4_cscTrue_posend_seed1,dtd,4,1,True,end,16,57.033096926713945,57.033096926713945,56.91489361702128,/scratch/HS400/coop_results/output/weights/dtd_shots4_cscTrue_posend_seed1_weights.pt,CSC,CSC_end
dtd_shots4_cscTrue_posmiddle_seed1,dtd,4,1,True,middle,16,56.02836879432624,56.02836879432624,58.42198581560284,/scratch/HS400/coop_results/output/weights/dtd_shots4_cscTrue_posmiddle_seed1_weights.pt,CSC,CSC_middle
dtd_shots8_cscFalse_posend_seed1,dtd,8,1,False,end,16,64.65721040189125,64.65721040189125,64.80496453900709,/scratch/HS400/coop_results/output/weights/dtd_shots8_cscFalse_posend_seed1_weights.pt,Unified,Unified_end
dtd_shots8_cscFalse_posmiddle_seed1,dtd,8,1,False,middle,16,64.77541371158392,64.77541371158392,64.98226950354609,/scratch/HS400/coop_results/output/weights/dtd_shots8_cscFalse_posmiddle_seed1_weights.pt,Unified,Unified_middle
dtd_shots8_cscTrue_posend_seed1,dtd,8,1,True,end,16,62.174940898345156,62.174940898345156,62.677304964539005,/scratch/HS400/coop_results/output/weights/dtd_shots8_cscTrue_posend_seed1_weights.pt,CSC,CSC_end
dtd_shots8_cscTrue_posmiddle_seed1,dtd,8,1,True,middle,16,62.88416075650118,62.88416075650118,63.652482269503544,/scratch/HS400/coop_results/output/weights/dtd_shots8_cscTrue_posmiddle_seed1_weights.pt,CSC,CSC_middle
dtd_shots16_cscFalse_posend_seed1,dtd,16,1,False,end,16,69.08983451536643,69.08983451536643,69.68085106382979,/scratch/HS400/coop_results/output/weights/dtd_shots16_cscFalse_posend_seed1_weights.pt,Unified,Unified_end
dtd_shots16_cscFalse_posmiddle_seed1,dtd,16,1,False,middle,16,67.96690307328605,67.96690307328605,68.97163120567376,/scratch/HS400/coop_results/output/weights/dtd_shots16_cscFalse_posmiddle_seed1_weights.pt,Unified,Unified_middle
dtd_shots16_cscTrue_posend_seed1,dtd,16,1,True,end,16,68.67612293144208,68.67612293144208,70.2127659574468,/scratch/HS400/coop_results/output/weights/dtd_shots16_cscTrue_posend_seed1_weights.pt,CSC,CSC_end
dtd_shots16_cscTrue_posmiddle_seed1,dtd,16,1,True,middle,16,68.43971631205673,68.43971631205673,70.12411347517731,/scratch/HS400/coop_results/output/weights/dtd_shots16_cscTrue_posmiddle_seed1_weights.pt,CSC,CSC_middle
caltech101_shots1_cscFalse_posend_seed1,caltech101,1,1,False,end,16,93.10344827586206,93.10344827586206,94.05700424499697,/scratch/HS400/coop_results/output/weights/caltech101_shots1_cscFalse_posend_seed1_weights.pt,Unified,Unified_end
caltech101_shots1_cscFalse_posmiddle_seed1,caltech101,1,1,False,middle,16,93.87423935091277,93.87423935091277,94.05700424499697,/scratch/HS400/coop_results/output/weights/caltech101_shots1_cscFalse_posmiddle_seed1_weights.pt,Unified,Unified_middle
caltech101_shots1_cscTrue_posend_seed1,caltech101,1,1,True,end,16,79.87829614604462,79.87829614604462,80.47301394784718,/scratch/HS400/coop_results/output/weights/caltech101_shots1_cscTrue_posend_seed1_weights.pt,CSC,CSC_end
caltech101_shots1_cscTrue_posmiddle_seed1,caltech101,1,1,True,middle,16,80.08113590263692,80.08113590263692,81.6858702243784,/scratch/HS400/coop_results/output/weights/caltech101_shots1_cscTrue_posmiddle_seed1_weights.pt,CSC,CSC_middle
caltech101_shots4_cscFalse_posend_seed1,caltech101,4,1,False,end,16,94.52332657200812,94.52332657200812,95.2698605215282,/scratch/HS400/coop_results/output/weights/caltech101_shots4_cscFalse_posend_seed1_weights.pt,Unified,Unified_end
caltech101_shots4_cscFalse_posmiddle_seed1,caltech101,4,1,False,middle,16,94.27991886409737,94.27991886409737,95.51243177683445,/scratch/HS400/coop_results/output/weights/caltech101_shots4_cscFalse_posmiddle_seed1_weights.pt,Unified,Unified_middle
caltech101_shots4_cscTrue_posend_seed1,caltech101,4,1,True,end,16,92.25152129817444,92.25152129817444,93.9963614311704,/scratch/HS400/coop_results/output/weights/caltech101_shots4_cscTrue_posend_seed1_weights.pt,CSC,CSC_end
caltech101_shots4_cscTrue_posmiddle_seed1,caltech101,4,1,True,middle,16,92.0892494929006,92.0892494929006,92.96543359611886,/scratch/HS400/coop_results/output/weights/caltech101_shots4_cscTrue_posmiddle_seed1_weights.pt,CSC,CSC_middle
caltech101_shots8_cscFalse_posend_seed1,caltech101,8,1,False,end,16,94.64503042596348,94.64503042596348,95.75500303214069,/scratch/HS400/coop_results/output/weights/caltech101_shots8_cscFalse_posend_seed1_weights.pt,Unified,Unified_end
caltech101_shots8_cscFalse_posmiddle_seed1,caltech101,8,1,False,middle,16,94.52332657200812,94.52332657200812,95.99757428744694,/scratch/HS400/coop_results/output/weights/caltech101_shots8_cscFalse_posmiddle_seed1_weights.pt,Unified,Unified_middle
caltech101_shots8_cscTrue_posend_seed1,caltech101,8,1,True,end,16,93.63083164300203,93.63083164300203,94.90600363856883,/scratch/HS400/coop_results/output/weights/caltech101_shots8_cscTrue_posend_seed1_weights.pt,CSC,CSC_end
caltech101_shots8_cscTrue_posmiddle_seed1,caltech101,8,1,True,middle,16,93.10344827586206,93.10344827586206,94.23893268647666,/scratch/HS400/coop_results/output/weights/caltech101_shots8_cscTrue_posmiddle_seed1_weights.pt,CSC,CSC_middle
caltech101_shots16_cscFalse_posend_seed1,caltech101,16,1,False,end,16,95.78093306288032,95.78093306288032,96.90721649484536,/scratch/HS400/coop_results/output/weights/caltech101_shots16_cscFalse_posend_seed1_weights.pt,Unified,Unified_end
caltech101_shots16_cscFalse_posmiddle_seed1,caltech101,16,1,False,middle,16,95.4158215010142,95.4158215010142,96.60400242571255,/scratch/HS400/coop_results/output/weights/caltech101_shots16_cscFalse_posmiddle_seed1_weights.pt,Unified,Unified_middle
