dataset,zero_shot_acc
eurosat,42.06172839506173
oxfordpets,88.22567457072772
dtd,44.385342789598106
caltech101,93.30628803245436
oxfordflowers,67.39748274462038
fgvc_aircraft,23.822382238223824
stanford_cars,65.60129337147121
ucf101,65.21279407877346
food101,85.25082508250826
