method,primary_metric,top1_val,top1_test,top1_full,mpc_val,mpc_test,mpc_full,top5_val,top5_test,top5_full
Standard CLIP,mean_per_class,69.93,70.69,70.72,68.43,69.4,69.33,86.1,85.91,85.91
CuPL (base),mean_per_class,68.71,68.7,68.36,66.31,66.41,66.19,86.28,86.4,86.05
CuPL (full),mean_per_class,70.3,70.0,69.95,68.95,68.57,68.54,85.0,85.34,85.08
Ensemble,mean_per_class,70.48,71.17,71.02,68.47,69.61,69.21,85.73,85.59,85.5
