Shots,ZS-CLIP,CoCoOp,ProMIM (MIM),ProMIM (Full),Delta (Full-C)
ZS,76.10,-,-,-,-
1,76.10,76.91,76.88,78.82,+1.91
4,76.10,78.87,78.22,80.10,+1.23
8,76.10,76.94,76.87,79.26,+2.32
16,76.10,78.17,37.44,81.71,+3.54
