Shots,ZS-CLIP,CoCoOp,ProMIM (MIM),ProMIM (Full),Delta (Full-C)
ZS,56.11,-,-,-,-
1,56.11,50.36,58.45,61.75,+11.39
4,56.11,53.47,30.19,61.29,+7.81
8,56.11,40.96,61.64,60.48,+19.51
16,56.11,49.57,41.46,61.35,+11.78
