Shots,ZS-CLIP,CoCoOp,ProMIM (MIM),ProMIM (Full),Delta (Full-C)
ZS,60.27,-,-,-,-
1,60.27,64.64,68.90,73.36,+8.72
4,60.27,63.15,67.32,76.95,+13.80
8,60.27,43.95,73.98,72.98,+29.03
16,60.27,41.30,62.65,76.85,+35.55
