Shots,ZS-CLIP,CoCoOp,ProMIM (MIM),ProMIM (Full),Delta (Full-C)
ZS,31.13,-,-,-,-
1,31.13,3.63,4.10,6.84,+3.21
4,31.13,9.91,5.11,33.03,+23.12
8,31.13,4.90,10.70,28.98,+24.09
16,31.13,8.82,9.97,32.21,+23.39
