method,primary_metric,top1_val,top1_test,top1_full,mpc_val,mpc_test,mpc_full,top5_val,top5_test,top5_full
Standard CLIP,mean_per_class,88.59,89.07,87.9,88.53,88.88,87.76,99.05,99.54,99.28
CuPL (base),mean_per_class,91.58,91.96,90.98,91.6,91.97,90.99,99.73,99.86,99.69
CuPL (full),mean_per_class,90.76,91.55,90.33,90.77,91.55,90.33,99.46,99.81,99.61
Ensemble,mean_per_class,91.17,91.5,90.53,91.19,91.5,90.53,99.32,99.75,99.56
