Shots,ZS-CLIP,CoCoOp,ProMIM (MIM),ProMIM (Full),Delta (Full-C)
ZS,93.69,-,-,-,-
1,93.69,95.17,95.69,95.49,+0.33
4,93.69,93.89,95.43,95.83,+1.95
8,93.69,95.92,94.30,95.68,-0.25
16,93.69,95.93,94.16,95.38,-0.55
