Shots,ZS-CLIP,CoCoOp,ProMIM (MIM),ProMIM (Full),Delta (Full-C)
ZS,75.09,-,-,-,-
1,75.09,75.20,76.50,79.30,+4.10
4,75.09,73.37,76.70,79.33,+5.95
8,75.09,68.66,74.79,79.01,+10.35
16,75.09,71.99,71.90,80.65,+8.67
